
Sample:   c= 1.0125 mg/ml  Code: 
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/PolymeraseP1_P1_buffer_0009.dat  
 3.914520e-001  7.017416e-002  2.681528e-004
 3.942050e-001  6.871904e-002  2.664383e-004
 3.969570e-001  6.735480e-002  2.634399e-004
 3.997100e-001  6.542903e-002  2.580627e-004
 4.024620e-001  6.306475e-002  2.554568e-004
 4.052150e-001  6.181570e-002  2.527521e-004
 4.079670e-001  5.999711e-002  2.488034e-004
 4.107200e-001  5.895018e-002  2.459749e-004
 4.134720e-001  5.690054e-002  2.435322e-004
 4.162250e-001  5.561213e-002  2.403985e-004
 4.189770e-001  5.443132e-002  2.379386e-004
 4.217300e-001  5.285522e-002  2.339425e-004
 4.244820e-001  5.073063e-002  2.291588e-004
 4.272350e-001  4.986213e-002  2.279159e-004
 4.299870e-001  4.818098e-002  2.247446e-004
 4.327400e-001  4.691200e-002  2.214761e-004
 4.354920e-001  4.601198e-002  2.214899e-004
 4.382450e-001  4.436318e-002  2.185881e-004
 4.409980e-001  4.305811e-002  2.204645e-004
 4.437500e-001  4.201590e-002  2.169629e-004
 4.465030e-001  4.109577e-002  2.152345e-004
 4.492550e-001  3.942859e-002  2.166459e-004
 4.520080e-001  3.828610e-002  2.130591e-004
 4.547600e-001  3.731276e-002  2.139213e-004
 4.575130e-001  3.625475e-002  2.097457e-004
 4.602650e-001  3.551908e-002  2.088432e-004
 4.630180e-001  3.429634e-002  2.077685e-004
 4.657700e-001  3.344431e-002  2.060628e-004
 4.685230e-001  3.212354e-002  2.037835e-004
 4.712750e-001  3.157036e-002  2.002320e-004
 4.740280e-001  3.038708e-002  1.980832e-004
 4.767800e-001  2.942095e-002  1.938942e-004
 4.795330e-001  2.840229e-002  1.897826e-004
 4.822850e-001  2.741132e-002  1.867410e-004
 4.850380e-001  2.679748e-002  1.838284e-004
 4.877900e-001  2.578819e-002  1.817494e-004
 4.905430e-001  2.546178e-002  1.796886e-004
 4.932950e-001  2.430457e-002  1.744139e-004
 4.960480e-001  2.383640e-002  1.736593e-004
 4.988000e-001  2.287273e-002  1.696963e-004
 5.015530e-001  2.248764e-002  1.704536e-004
 5.043050e-001  2.127488e-002  1.656352e-004
 5.070580e-001  2.109374e-002  1.645006e-004
 5.098100e-001  2.038286e-002  1.629002e-004
 5.125630e-001  1.937332e-002  1.600191e-004
 5.153160e-001  1.915580e-002  1.589990e-004
 5.180680e-001  1.866412e-002  1.581883e-004
 5.208210e-001  1.794413e-002  1.576123e-004
 5.235730e-001  1.749609e-002  1.551503e-004
 5.263260e-001  1.698606e-002  1.531208e-004
 5.290780e-001  1.629764e-002  1.519809e-004
 5.318310e-001  1.588952e-002  1.512929e-004
 5.345830e-001  1.550522e-002  1.498225e-004
 5.373360e-001  1.499664e-002  1.488496e-004
 5.400880e-001  1.444853e-002  1.451545e-004
 5.428410e-001  1.413170e-002  1.434670e-004
 5.455930e-001  1.372798e-002  1.430594e-004
 5.483460e-001  1.318431e-002  1.417059e-004
 5.510980e-001  1.289331e-002  1.400483e-004
 5.538510e-001  1.228146e-002  1.373889e-004
 5.566030e-001  1.214332e-002  1.371045e-004
 5.593560e-001  1.200451e-002  1.361290e-004
 5.621080e-001  1.150840e-002  1.345823e-004
 5.648610e-001  1.119921e-002  1.333493e-004
 5.676130e-001  1.057225e-002  1.336129e-004
 5.703660e-001  1.027173e-002  1.315126e-004
 5.731180e-001  1.034163e-002  1.306021e-004
 5.758710e-001  9.850479e-003  1.286703e-004
 5.786230e-001  9.656939e-003  1.290396e-004
 5.813760e-001  9.535872e-003  1.292599e-004
 5.841280e-001  9.075593e-003  1.265187e-004
 5.868810e-001  9.094250e-003  1.264363e-004
 5.896330e-001  8.689736e-003  1.253087e-004
 5.923860e-001  8.432486e-003  1.239284e-004
 5.951390e-001  8.420201e-003  1.254016e-004
 5.978910e-001  8.245527e-003  1.227630e-004
 6.006440e-001  7.935833e-003  1.229594e-004
 6.033960e-001  7.527657e-003  1.218567e-004
 6.061490e-001  7.607704e-003  1.205921e-004
 6.089010e-001  7.353937e-003  1.208007e-004
 6.116540e-001  7.513080e-003  1.200503e-004
 6.144060e-001  7.011677e-003  1.194700e-004
 6.171590e-001  7.078893e-003  1.190708e-004
 6.199110e-001  6.734289e-003  1.173310e-004
 6.226640e-001  6.809140e-003  1.180772e-004
