#|num|weight|mean|covariance matrix|
|0|2199.35698393|129.838890083 187.301242662 135.914985718|56.3098536871 -1.36335369284 -8.1336240775 -1.36335369284 21.5238715226 11.3546605878 -8.1336240775 11.3546605878 30.6965239601|
|1|375.015040974|104.211802589 190.289433881 141.979258414|47.44421158 13.2898172541 -5.95221297084 13.2898172541 55.5141478606 3.07965759288 -5.95221297084 3.07965759288 55.0706071115|
|2|471.875389386|118.617912663 182.92626009 137.93148025|51.1865297179 -12.8610071662 -20.0966398277 -12.8610071662 61.8389581538 21.7095123767 -20.0966398277 21.7095123767 44.2810887622|
|3|1642.0089175|109.060698783 202.903420031 155.492834306|16.432598475 -12.0241956533 -13.0301978522 -12.0241956533 33.9967244454 19.7687517512 -13.0301978522 19.7687517512 47.6118511534|
|4|280.955718195|101.705549967 185.382452645 139.511874067|45.6563232735 10.0324104803 -10.5167452399 10.0324104803 45.3966490806 -5.57060857515 -10.5167452399 -5.57060857515 53.3403937491|
|5|460.246749581|110.029045735 192.047980123 142.941107327|62.4207586061 -22.9543444191 -18.3715981381 -22.9543444191 68.4086631438 20.2155938014 -18.3715981381 20.2155938014 45.1033100888|
|6|1819.73384018|99.0310897472 184.284588413 151.520168984|27.4838895336 8.25041791315 3.09917906659 8.25041791315 44.3408778197 4.08128214009 3.09917906659 4.08128214009 20.6848540306|
|7|343.692265611|111.488839412 189.550610902 140.558315304|65.0664701825 -26.8620315043 -19.9906095836 -26.8620315043 73.4930563093 24.8062163317 -19.9906095836 24.8062163317 51.4245130689|
|8|2181.28210441|120.688491633 174.691605915 134.850968531|34.3739523816 -9.65691837478 -18.4166402281 -9.65691837478 33.8552611039 12.5238777849 -18.4166402281 12.5238777849 43.7664250019|
|9|434.042326722|117.047535006 180.147210321 132.224915315|47.5195495081 -26.5607270397 -13.4125400452 -26.5607270397 52.8501604743 11.4227652766 -13.4125400452 11.4227652766 54.9814266476|
|10|600.002504256|116.21692521 183.184312047 139.37955341|52.4216154496 -19.7269697427 -21.1397445311 -19.7269697427 67.3115046602 23.0996244473 -21.1397445311 23.0996244473 42.7401452453|
|11|1105.31695153|111.101328805 198.373265549 136.193837407|16.0718432749 -0.806522258318 3.22036969444 -0.806522258318 41.1907602193 8.20154857129 3.22036969444 8.20154857129 39.2443478883|
|12|1845.35760761|97.5447516138 183.232145919 136.215077767|29.6710422787 -0.915816383796 -1.55550864324 -0.915816383796 33.3202826394 -5.04611047449 -1.55550864324 -5.04611047449 25.3914288999|
|13|795.563162963|117.494667286 190.379109068 142.07443313|74.0824996454 -11.043949911 -20.642783059 -11.043949911 33.6425510258 16.5487670663 -20.642783059 16.5487670663 39.8225163374|
|14|650.999079171|101.96029497 200.923531867 146.773805519|33.7556895152 -1.58023597999 -10.9138896313 -1.58023597999 44.1124505843 12.4362595078 -10.9138896313 12.4362595078 35.5243633172|
|15|1719.47350174|122.681825991 174.377600379 124.469240787|33.2908460212 -16.2171234403 -4.02386372642 -16.2171234403 29.3756595855 3.00179339024 -4.02386372642 3.00179339024 29.4628540281|
|16|1530.96500719|108.673444479 188.058455492 125.056329549|20.7484237771 -2.73944188493 -7.30491836718 -2.73944188493 31.1552424139 5.3917545794 -7.30491836718 5.3917545794 22.0743950966|
|17|1871.8094696|103.486509852 205.464206672 145.97326094|41.2043642482 -1.57576424736 -26.8347966421 -1.57576424736 23.2299458058 8.46562800417 -26.8347966421 8.46562800417 47.2617745477|
|18|419.690928522|104.70987265 194.411277132 142.295660542|42.5012068015 3.24334579062 -10.1076650714 3.24334579062 60.2476489823 13.9069928467 -10.1076650714 13.9069928467 53.3541234192|
|19|628.795406026|103.881212553 193.088477665 137.039479976|39.1258264925 12.2744272283 -11.4433407692 12.2744272283 51.3676888184 13.7864859382 -11.4433407692 13.7864859382 50.4316447308|
|20|1166.82809726|97.9788055595 182.279829227 143.283528582|26.4776859372 0.864951706767 -0.946956655398 0.864951706767 39.4385005712 -2.67237258476 -0.946956655398 -2.67237258476 49.6713660755|
|21|723.594547649|101.967480569 189.779278886 148.857320417|38.6940675507 13.6889390621 -1.55992194228 13.6889390621 53.111991031 -3.97771962315 -1.55992194228 -3.97771962315 30.1875288803|
