#|num|weight|mean|covariance matrix|
|0|1294.12519222|182.701971962 201.915472568 127.582586006|31.7515224373 -2.79042764806 9.65520832923 -2.79042764806 21.2695746628 6.37707797767 9.65520832923 6.37707797767 41.6509486284|
|1|1159.36078303|185.738239175 218.056005822 125.071965864|42.0502282141 -7.18313731915 8.07952215034 -7.18313731915 23.4664907375 0.476883293843 8.07952215034 0.476883293843 22.3957130953|
|2|1250.76278289|193.505321504 205.721236161 119.460129416|30.5030030692 -3.7386646864 3.38891554806 -3.7386646864 29.1134831208 12.7335747909 3.38891554806 12.7335747909 35.9015876365|
|3|288.569260951|185.883573465 209.092167194 120.855323259|53.3312705405 -11.9385538556 4.06626756318 -11.9385538556 51.2935381884 9.63558598928 4.06626756318 9.63558598928 32.8148667029|
|4|851.064625071|200.887227461 191.634766248 116.000462464|16.3648833661 4.52993325621 -5.50824733484 4.52993325621 28.8311850884 -7.00491254754 -5.50824733484 -7.00491254754 13.7712076216|
|5|1248.9877089|179.662418116 207.391962055 119.430506282|35.4137460598 -13.8919389519 -8.06170923468 -13.8919389519 46.2347899482 -0.636211542775 -8.06170923468 -0.636211542775 29.1256356663|
|6|952.109048426|180.03165364 205.874555243 121.846014994|33.5452032006 -10.7241768453 -2.08527883569 -10.7241768453 40.8354590292 -4.62441484479 -2.08527883569 -4.62441484479 37.9078372735|
|7|1340.65033793|188.58043288 213.705449486 134.595989501|29.0839031252 4.69912419873 3.46723744671 4.69912419873 23.2879865458 -7.69996887417 3.46723744671 -7.69996887417 27.5787897976|
|8|1875.48906353|191.1539713 202.310163428 138.591791342|26.858910946 -1.89203134256 -16.5207222981 -1.89203134256 23.0936782075 -5.18156035145 -16.5207222981 -5.18156035145 36.1035860441|
|9|1132.47720913|194.767878859 208.342692602 124.71188579|23.5339958136 -2.86964119214 -1.29178162097 -2.86964119214 35.8986167155 21.435844126 -1.29178162097 21.435844126 50.8159078151|
|10|548.434604046|190.006432926 188.643727798 113.53354561|13.138283362 1.40344471852 12.0289052781 1.40344471852 11.9177610359 0.68712805692 12.0289052781 0.68712805692 26.9608856975|
|11|1370.10696085|175.040579369 215.673567057 125.058501708|29.5859947771 -2.49104451978 3.51438389974 -2.49104451978 34.6271590596 -6.55681505819 3.51438389974 -6.55681505819 16.9654920402|
|12|299.577359454|190.639913637 208.355874606 131.561324038|35.6617400891 4.73700441725 -5.27499667548 4.73700441725 39.1980769237 3.49018771562 -5.27499667548 3.49018771562 40.3964940298|
|13|588.881163581|184.678644413 203.076713977 120.270768266|47.7810050493 -5.67541292875 -9.6241944292 -5.67541292875 28.2015446995 -1.38698373157 -9.6241944292 -1.38698373157 35.6520342822|
