#|num|weight|mean|covariance matrix|
|0|1666.40156221|181.989285791 201.92569136 126.522028876|30.2636815087 -4.52017354152 7.50822146308 -4.52017354152 22.3701239444 5.95770948832 7.50822146308 5.95770948832 41.4477748331|
|1|520.205092609|189.737812169 188.653501464 113.221092838|11.9098415076 1.6164585581 11.0037487363 1.6164585581 12.1802095485 0.683908966499 11.0037487363 0.683908966499 25.981830733|
|2|325.520147324|185.490081674 210.061675915 129.747140747|44.6422147591 0.0539576877809 11.846715282 0.0539576877809 46.1498705549 -4.73910278967 11.846715282 -4.73910278967 44.8809745536|
|3|1428.47769388|184.125159806 218.263509835 125.309758186|48.7224130097 -5.98050337261 6.34588067085 -5.98050337261 22.8856410942 -0.946355978952 6.34588067085 -0.946355978952 20.2911541975|
|4|1915.63781074|191.089508997 202.475846408 138.608247206|26.9699718802 -2.22185567086 -16.4791954703 -2.22185567086 24.1436710602 -5.30501358114 -16.4791954703 -5.30501358114 35.8884776133|
|5|378.483624465|185.850247767 208.798837284 120.879744832|53.9571732911 -12.2626205474 2.55852932059 -12.2626205474 49.9260183774 9.92420507968 2.55852932059 9.92420507968 34.4348546136|
|6|1558.99533576|194.097605737 205.762521408 119.840150689|28.7680340942 -2.49596297177 3.96639269282 -2.49596297177 27.8356595994 12.9783596864 3.96639269282 12.9783596864 36.3706887402|
|7|699.053670558|193.454446127 207.770569161 124.871141069|29.386661824 0.291930935761 -0.413758624399 0.291930935761 37.6550293349 19.2259403001 -0.413758624399 19.2259403001 52.0285726453|
|8|361.389618691|190.831403617 208.223471806 130.618668038|36.8274148688 4.85664691715 -6.27045044078 4.85664691715 39.0571541348 7.06601210839 -6.27045044078 7.06601210839 44.1548289311|
|9|1386.15331889|174.594033729 213.270876043 123.614171519|23.1380149651 -8.12988603629 -3.15424461597 -8.12988603629 42.7525963836 -2.92978424804 -3.15424461597 -2.92978424804 22.5584528207|
|10|880.037323504|200.703547529 191.548243365 116.102368931|17.185678353 4.81669683736 -5.93173406182 4.81669683736 28.4782248469 -7.05334299139 -5.93173406182 -7.05334299139 13.9691321675|
|11|1283.71766652|189.430480776 213.899926124 134.236375284|30.0344319212 3.87183146279 1.75609412228 3.87183146279 21.6354789885 -5.58704735255 1.75609412228 -5.58704735255 27.9905863843|
|12|1136.02068366|179.735107352 207.88790257 119.402600553|36.4293876339 -15.0623754339 -8.45889099665 -15.0623754339 47.1053768167 1.58045626994 -8.45889099665 1.58045626994 30.3074705928|
|13|660.502551186|183.87414178 204.119469585 119.148991493|45.0512486061 -9.19894595728 -6.87984586599 -9.19894595728 33.9070889929 -2.81805047712 -6.87984586599 -2.81805047712 31.0934349854|
