#|num|weight|mean|covariance matrix|
|0|516.534179115|123.195870703 115.08335236 95.6413815127|75.6318719931 28.2242143493 -8.90933023071 28.2242143493 48.8420640714 -4.18688270938 -8.90933023071 -4.18688270938 39.0087222658|
|1|1278.23178461|128.81698102 121.40150789 91.9219394603|49.7678937402 10.2513854482 5.82521693906 10.2513854482 23.9289797298 1.74991688037 5.82521693906 1.74991688037 29.260229877|
|2|623.927140496|141.93395379 126.903574628 95.3895360505|67.4983726074 20.9490043461 -3.4632189799 20.9490043461 25.2064634792 -0.646634361094 -3.4632189799 -0.646634361094 20.0981622326|
|3|1350.53541375|128.524985569 126.57427782 112.574507787|41.0402979576 27.2910920069 32.3638751993 27.2910920069 37.1327639708 27.0228200162 32.3638751993 27.0228200162 42.6103554448|
|4|1351.90342458|116.128815817 108.85197282 96.4152222341|36.8065374512 2.67070432015 -5.32855557464 2.67070432015 32.3965463967 -1.27025529577 -5.32855557464 -1.27025529577 38.5766159994|
|5|2330.85879563|144.197226922 120.342669032 98.3970717927|46.2325384147 31.2914360875 19.2650735648 31.2914360875 42.9214299511 14.1253713783 19.2650735648 14.1253713783 26.2672086842|
|6|796.025420822|120.590883442 115.302560774 94.7667093689|59.4869820383 22.1109748228 -10.1028093851 22.1109748228 44.8246317837 -6.71658022177 -10.1028093851 -6.71658022177 40.6844104787|
|7|1544.36193055|150.12971332 127.742561881 90.972820281|27.6588443987 1.72198260495 -6.58032691957 1.72198260495 19.4066385044 8.79854223377 -6.58032691957 8.79854223377 25.1592528677|
|8|740.008754589|119.522633051 109.394218216 97.0800237876|55.609957327 13.3859856754 -5.29802014594 13.3859856754 34.5646745321 -0.0604393153395 -5.29802014594 -0.0604393153395 33.9771189094|
|9|690.544805059|130.647167712 120.682307858 93.7856565407|80.9471939453 22.3854060412 2.50305727151 22.3854060412 34.5683820036 2.83741409143 2.50305727151 2.83741409143 32.3969695294|
|10|1406.87599198|115.635630143 108.095683951 98.5357940307|37.411091311 2.29936888642 -2.2899919776 2.29936888642 29.1915678694 2.29328201828 -2.2899919776 2.29328201828 33.9410003493|
|11|725.880880914|121.632935769 114.108410208 93.6687709814|63.5106734331 23.1388032537 -8.20177705823 23.1388032537 48.6597429489 -6.49447441978 -8.20177705823 -6.49447441978 36.6252851808|
|12|569.000377903|131.110891917 117.583624813 94.2721470567|85.3092227081 34.671030275 2.70751572128 34.671030275 53.3932442304 0.598908540536 2.70751572128 0.598908540536 28.6519342172|
