#|num|weight|mean|covariance matrix|
|0|394.881869617|209.551307987 161.025011208 150.558933816|37.5410577361 11.6018874266 3.66751002584 11.6018874266 99.0588887915 -15.5353830092 3.66751002584 -15.5353830092 40.4689267792|
|1|1216.57510357|212.282932725 169.861982907 150.504942446|33.8004825979 3.56134933557 9.20810817754 3.56134933557 46.2443733614 -8.29357281533 9.20810817754 -8.29357281533 32.1581553805|
|2|991.820792237|206.459228482 147.998962344 169.009397666|30.3476321987 11.5513118547 -10.6543881538 11.5513118547 39.2916024876 -3.27150832094 -10.6543881538 -3.27150832094 47.1458496696|
|3|2068.73822746|211.877789103 197.947239005 158.369683072|27.0597459069 7.76150336492 -6.29389970801 7.76150336492 47.9022702519 3.61858188553 -6.29389970801 3.61858188553 20.0775414588|
|4|2431.29215321|198.927363702 144.528211148 165.233588483|22.5776387423 -6.86228803796 -7.78628350255 -6.86228803796 33.4035662726 -4.99828158464 -7.78628350255 -4.99828158464 46.3473164583|
|5|1323.11868117|202.560596194 160.800035708 146.746150619|18.3772717592 7.05383271452 -6.79336564616 7.05383271452 93.6129928847 -39.445153444 -6.79336564616 -39.445153444 36.6940075676|
|6|617.873605821|211.113216376 165.360840741 150.228698127|34.6977219663 8.62321854189 6.5717401704 8.62321854189 76.1738880822 -6.69248276564 6.5717401704 -6.69248276564 34.9765739089|
|7|883.862260178|207.21119291 188.181919172 150.997314926|22.4768550377 -2.31101430992 5.50216646041 -2.31101430992 54.8496672786 30.8532645123 5.50216646041 30.8532645123 55.41488952|
|8|389.625929686|207.788906058 161.702737525 148.656943885|36.3553644152 4.51066087846 3.19744750953 4.51066087846 103.561373287 -25.4386666145 3.19744750953 -25.4386666145 42.8201492593|
|9|2054.89190106|215.776223443 142.253396371 152.281669077|29.9507909324 4.06898112366 -0.292163751539 4.06898112366 25.4020377361 6.33864134101 -0.292163751539 6.33864134101 31.1123487121|
|10|827.429247077|209.424622241 183.860999006 124.231575302|19.311357516 -17.884528544 4.85036592781 -17.884528544 34.8498690759 -9.75644132905 4.85036592781 -9.75644132905 12.2042972583|
|11|427.088018903|209.628016939 161.748205249 151.353376153|38.8107169162 16.3996211901 3.23137763678 16.3996211901 93.3904594116 -16.6922429044 3.23137763678 -16.6922429044 40.1130498715|
|12|1999.21011888|201.021659307 197.912489534 155.461598517|18.8394936786 -5.20701583506 -9.78315142231 -5.20701583506 36.076200813 1.3908752562 -9.78315142231 1.3908752562 34.0381381387|
|13|1535.29566408|208.973862758 205.637602301 157.397150088|45.1578693719 6.31010422013 -0.74520441961 6.31010422013 15.4635522415 -1.91683719267 -0.74520441961 -1.91683719267 27.4659554052|
|14|1071.42731022|206.79326331 181.489883759 145.636345851|20.6864259921 -0.528190643537 8.34981336041 -0.528190643537 77.3232490632 26.0609119731 8.34981336041 26.0609119731 41.3328274203|
|15|348.872812339|208.447055261 152.809989287 150.590909421|39.8670250346 -0.893209624999 -2.66420206845 -0.893209624999 64.2816028462 -9.78606099022 -2.66420206845 -9.78606099022 36.8636289688|
|16|598.342173702|210.790993339 164.375853829 150.175592599|35.1488112612 8.96048790646 6.10543214743 8.96048790646 83.7198528099 -8.01955714182 6.10543214743 -8.01955714182 36.0189825447|
|17|341.015821194|209.2344006 162.161163584 150.278040776|37.875344859 10.5344641693 4.81083905974 10.5344641693 98.2512206076 -19.1238661744 4.81083905974 -19.1238661744 42.2467563039|
|18|510.462877387|208.664405835 180.686029189 147.533029202|28.6246603392 -12.1667878742 8.8290274999 -12.1667878742 105.09635992 24.9525965344 8.8290274999 24.9525965344 40.9112726817|
|19|375.246247659|206.849826077 147.443713894 159.534619228|41.5062385563 3.55565066105 -12.4210560217 3.55565066105 43.8891466302 -3.15271547856 -12.4210560217 -3.15271547856 71.1622037738|
|20|358.138975287|208.549028779 160.46729997 150.212016946|38.0444036825 9.59083781926 3.12096492328 9.59083781926 101.349340154 -22.4640876264 3.12096492328 -22.4640876264 44.1476128916|
|21|760.009901694|207.053276077 146.904390111 163.860584452|36.5350647832 7.29575081381 -13.2805728155 7.29575081381 41.9892788157 1.97429034688 -13.2805728155 1.97429034688 66.2967651609|
|22|1030.62121844|208.457134416 150.544929144 167.385065008|26.0544570717 9.00013499576 -14.0294489484 9.00013499576 33.5504062183 -9.32119858421 -14.0294489484 -9.32119858421 51.4552686363|
|23|1932.82379724|204.166520434 160.467703277 129.064474323|55.5324567327 15.4635141318 42.3114680593 15.4635141318 15.8061630346 17.8040331197 42.3114680593 17.8040331197 60.0373413103|
|24|310.70623507|207.863244289 148.371440826 157.100768018|41.2535075716 2.02288676149 -9.47079927927 2.02288676149 47.0573202538 -5.1088549634 -9.47079927927 -5.1088549634 63.1227510928|
|25|643.888415857|210.430950798 170.849150821 148.102920657|37.0210077973 -2.50521312854 14.7230349486 -2.50521312854 55.3880136861 -10.7276254092 14.7230349486 -10.7276254092 39.3164170663|
|26|1728.70434589|213.647907021 180.204036739 136.958685841|22.7221864285 -0.485731624729 -6.81465425233 -0.485731624729 12.1270436773 0.96710346409 -6.81465425233 0.96710346409 53.3288221355|
|27|1745.59663383|203.001714194 140.708388135 144.796220798|28.1543227308 12.5363926209 5.26676202005 12.5363926209 31.2326713738 0.689692946555 5.26676202005 0.689692946555 16.676485389|
|28|292.099127372|207.318556496 154.440164337 157.649375303|39.8392865376 15.6891473354 -8.95403729954 15.6891473354 60.1299967127 -32.6150854407 -8.95403729954 -32.6150854407 78.9436830835|
