Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  3.584220e-01   9.055488e-02   8.235301e-04
  3.611750e-01   8.991010e-02   8.146003e-04
  3.639270e-01   8.705309e-02   8.134790e-04
  3.666800e-01   8.520649e-02   7.983997e-04
  3.694320e-01   8.317623e-02   7.983178e-04
  3.721850e-01   8.049788e-02   7.899316e-04
  3.749370e-01   7.840506e-02   7.793001e-04
  3.776900e-01   7.813325e-02   7.735783e-04
  3.804420e-01   7.582523e-02   7.702391e-04
  3.831950e-01   7.432462e-02   7.650496e-04
  3.859470e-01   7.160665e-02   7.551257e-04
  3.887000e-01   6.980414e-02   7.492004e-04
  3.914520e-01   6.796907e-02   7.465641e-04
  3.942050e-01   6.749216e-02   7.439497e-04
  3.969570e-01   6.438074e-02   7.353145e-04
  3.997100e-01   6.361125e-02   7.237152e-04
  4.024620e-01   6.290984e-02   7.243868e-04
  4.052150e-01   6.006413e-02   7.154254e-04
  4.079670e-01   5.907884e-02   7.106977e-04
  4.107200e-01   5.835003e-02   7.070588e-04
  4.134720e-01   5.683309e-02   7.056700e-04
  4.162250e-01   5.490017e-02   6.948007e-04
  4.189770e-01   5.189520e-02   6.896036e-04
  4.217300e-01   5.107567e-02   6.818668e-04
  4.244820e-01   5.027070e-02   6.762484e-04
  4.272350e-01   4.815751e-02   6.706542e-04
  4.299870e-01   4.745686e-02   6.687659e-04
  4.327400e-01   4.660414e-02   6.622714e-04
  4.354920e-01   4.455201e-02   6.636368e-04
  4.382450e-01   4.251777e-02   6.568836e-04
  4.409980e-01   4.241036e-02   6.700628e-04
  4.437500e-01   4.145759e-02   6.610161e-04
  4.465030e-01   3.956654e-02   6.563654e-04
  4.492550e-01   4.002554e-02   6.697341e-04
  4.520080e-01   3.864425e-02   6.606596e-04
  4.547600e-01   3.712509e-02   6.673004e-04
  4.575130e-01   3.587406e-02   6.561771e-04
  4.602650e-01   3.364701e-02   6.551194e-04
  4.630180e-01   3.377816e-02   6.581177e-04
  4.657700e-01   3.376457e-02   6.554672e-04
  4.685230e-01   3.236030e-02   6.537397e-04
  4.712750e-01   3.097568e-02   6.447165e-04
  4.740280e-01   2.964545e-02   6.427230e-04
  4.767800e-01   2.832483e-02   6.296400e-04
  4.795330e-01   2.761236e-02   6.211732e-04
  4.822850e-01   2.696959e-02   6.162690e-04
  4.850380e-01   2.670933e-02   6.082591e-04
  4.877900e-01   2.546870e-02   6.057348e-04
  4.905430e-01   2.598513e-02   6.026320e-04
  4.932950e-01   2.454212e-02   5.892645e-04
  4.960480e-01   2.393162e-02   5.910175e-04
  4.988000e-01   2.171178e-02   5.797754e-04
  5.015530e-01   2.274093e-02   5.838352e-04
  5.043050e-01   2.212058e-02   5.726122e-04
  5.070580e-01   2.087662e-02   5.653539e-04
  5.098100e-01   1.971065e-02   5.642342e-04
  5.125630e-01   1.899217e-02   5.599529e-04
  5.153160e-01   1.944745e-02   5.629025e-04
  5.180680e-01   1.817387e-02   5.589528e-04
  5.208210e-01   1.785107e-02   5.601913e-04
  5.235730e-01   1.747810e-02   5.539454e-04
  5.263260e-01   1.696277e-02   5.522799e-04
  5.290780e-01   1.593633e-02   5.494129e-04
  5.318310e-01   1.468951e-02   5.478071e-04
  5.345830e-01   1.418849e-02   5.444251e-04
  5.373360e-01   1.465087e-02   5.474872e-04
  5.400880e-01   1.500810e-02   5.360175e-04
  5.428410e-01   1.415001e-02   5.321796e-04
  5.455930e-01   1.350194e-02   5.304764e-04
  5.483460e-01   1.287651e-02   5.302988e-04
  5.510980e-01   1.277997e-02   5.276746e-04
  5.538510e-01   1.222713e-02   5.224517e-04
  5.566030e-01   1.200948e-02   5.212604e-04
  5.593560e-01   1.185490e-02   5.197259e-04
  5.621080e-01   1.129909e-02   5.154710e-04
  5.648610e-01   1.109587e-02   5.128648e-04
  5.676130e-01   1.004136e-02   5.170675e-04
  5.703660e-01   1.030933e-02   5.120817e-04
  5.731180e-01   1.089523e-02   5.079901e-04
  5.758710e-01   9.627188e-03   5.043652e-04
  5.786230e-01   8.501739e-03   5.044861e-04
  5.813760e-01   9.817188e-03   5.091500e-04
  5.841280e-01   8.572551e-03   4.997103e-04
  5.868810e-01   8.737420e-03   4.999397e-04
  5.896330e-01   9.223348e-03   5.031743e-04
  5.923860e-01   8.947377e-03   4.981078e-04
  5.951390e-01   7.777290e-03   4.981003e-04
  5.978910e-01   7.891812e-03   4.920548e-04
  6.006440e-01   7.888841e-03   4.967999e-04
  6.033960e-01   8.432928e-03   4.962307e-04
  6.061490e-01   7.397087e-03   4.888230e-04
  6.089010e-01   7.867319e-03   4.906439e-04
  6.116540e-01   6.888435e-03   4.868423e-04
  6.144060e-01   6.895754e-03   4.891093e-04
  6.171590e-01   7.580159e-03   4.870997e-04
  6.199110e-01   7.026522e-03   4.833736e-04
  6.226640e-01   6.224072e-03   4.847958e-04
  6.254160e-01   6.554681e-03   4.842120e-04
  6.281690e-01   6.267899e-03   4.839241e-04
  6.309210e-01   5.903261e-03   4.784090e-04
  6.336740e-01   6.030783e-03   4.790538e-04
  6.364260e-01   6.518116e-03   4.853055e-04
  6.391790e-01   6.379841e-03   4.799870e-04
  6.419310e-01   5.971623e-03   4.765632e-04
