Sample description: 
Sample:   c= 1.0000 mg/ml  Code: P1_2_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_2_P1_Buffer_0016_sub.dat
  1.710980e-02   1.641060e+00   8.806408e-02
  1.986230e-02   5.736000e-01   4.451362e-02
  2.261490e-02   5.648100e-01   3.638193e-02
  2.536740e-02   3.398400e-01   3.048832e-02
  2.811990e-02   5.262300e-01   2.378656e-02
  3.087240e-02   5.656460e-01   1.991499e-02
  3.362490e-02   5.117220e-01   1.583275e-02
  3.637740e-02   5.279820e-01   1.282229e-02
  3.913000e-02   5.109200e-01   1.113649e-02
  4.188250e-02   5.303750e-01   9.321815e-03
  4.463500e-02   5.088300e-01   8.257240e-03
  4.738750e-02   5.156370e-01   7.259769e-03
  5.014000e-02   4.996170e-01   6.615120e-03
  5.289260e-02   4.922940e-01   5.890434e-03
  5.564510e-02   4.962997e-01   5.510382e-03
  5.839760e-02   4.859718e-01   4.947962e-03
  6.115010e-02   4.803387e-01   4.486826e-03
  6.390260e-02   4.812145e-01   4.281089e-03
  6.665510e-02   4.711956e-01   3.870340e-03
  6.940770e-02   4.673676e-01   3.691135e-03
  7.216020e-02   4.564814e-01   3.400138e-03
  7.491270e-02   4.598494e-01   3.243226e-03
  7.766520e-02   4.552684e-01   3.139544e-03
  8.041770e-02   4.479040e-01   2.933573e-03
  8.317020e-02   4.471589e-01   2.807056e-03
  8.592280e-02   4.417880e-01   2.688522e-03
  8.867530e-02   4.375218e-01   2.614808e-03
  9.142780e-02   4.310782e-01   2.505045e-03
  9.418030e-02   4.269681e-01   2.443895e-03
  9.693280e-02   4.299150e-01   2.327737e-03
  9.968540e-02   4.207847e-01   2.264690e-03
  1.024380e-01   4.218820e-01   2.224052e-03
  1.051900e-01   4.176454e-01   2.139908e-03
  1.079430e-01   4.126215e-01   2.067111e-03
  1.106950e-01   4.055485e-01   2.051528e-03
  1.134480e-01   4.083474e-01   1.985887e-03
  1.162000e-01   3.989748e-01   1.941050e-03
  1.189530e-01   3.937834e-01   1.868846e-03
  1.217050e-01   3.948037e-01   1.869199e-03
  1.244580e-01   3.889005e-01   1.824330e-03
  1.272110e-01   3.853383e-01   1.783942e-03
  1.299630e-01   3.796568e-01   1.746466e-03
  1.327160e-01   3.781571e-01   1.691468e-03
  1.354680e-01   3.706653e-01   1.687171e-03
  1.382210e-01   3.674504e-01   1.655711e-03
  1.409730e-01   3.661891e-01   1.606692e-03
  1.437260e-01   3.614107e-01   1.599037e-03
  1.464780e-01   3.574747e-01   1.553988e-03
  1.492310e-01   3.520898e-01   1.541408e-03
  1.519830e-01   3.477083e-01   1.502743e-03
  1.547360e-01   3.449419e-01   1.467593e-03
  1.574880e-01   3.424237e-01   1.474435e-03
  1.602410e-01   3.365044e-01   1.425095e-03
  1.629930e-01   3.331660e-01   1.430227e-03
  1.657460e-01   3.329079e-01   1.395200e-03
  1.684980e-01   3.262070e-01   1.360271e-03
  1.712510e-01   3.250787e-01   1.369425e-03
  1.740030e-01   3.191178e-01   1.318934e-03
  1.767560e-01   3.164204e-01   1.320337e-03
  1.795080e-01   3.114210e-01   1.293514e-03
  1.822610e-01   3.074790e-01   1.276030e-03
  1.850130e-01   3.058699e-01   1.265520e-03
  1.877660e-01   2.995241e-01   1.231187e-03
  1.905180e-01   2.966228e-01   1.222261e-03
  1.932710e-01   2.916615e-01   1.208117e-03
  1.960230e-01   2.880757e-01   1.193450e-03
  1.987760e-01   2.848113e-01   1.190491e-03
  2.015290e-01   2.802310e-01   1.178127e-03
  2.042810e-01   2.767658e-01   1.191448e-03
  2.070340e-01   2.725234e-01   1.183067e-03
  2.097860e-01   2.679039e-01   1.178705e-03
  2.125390e-01   2.647255e-01   1.171022e-03
  2.152910e-01   2.586451e-01   1.151695e-03
  2.180440e-01   2.554404e-01   1.148949e-03
  2.207960e-01   2.522175e-01   1.147079e-03
  2.235490e-01   2.479184e-01   1.127436e-03
  2.263010e-01   2.413598e-01   1.121282e-03
  2.290540e-01   2.416012e-01   1.109846e-03
  2.318060e-01   2.351116e-01   1.101709e-03
  2.345590e-01   2.317973e-01   1.083976e-03
  2.373110e-01   2.299166e-01   1.078645e-03
  2.400640e-01   2.258110e-01   1.068294e-03
  2.428160e-01   2.227444e-01   1.074079e-03
  2.455690e-01   2.199231e-01   1.049424e-03
  2.483210e-01   2.135146e-01   1.040221e-03
  2.510740e-01   2.115431e-01   1.018481e-03
  2.538260e-01   2.069304e-01   1.015908e-03
  2.565790e-01   2.047444e-01   1.024331e-03
  2.593310e-01   2.020589e-01   9.830368e-04
  2.620840e-01   1.974727e-01   9.658521e-04
  2.648360e-01   1.946406e-01   9.335231e-04
  2.675890e-01   1.905498e-01   9.157250e-04
  2.703410e-01   1.875743e-01   9.036822e-04
  2.730940e-01   1.830920e-01   8.850863e-04
  2.758460e-01   1.793396e-01   8.792098e-04
