Sample description: 
Sample:   c= .3200 mg/ml  Code: P1_4_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_4_P1_Buffer_0022_sub.dat
  1.710980e-02   4.914375e-01   2.765323e-01
  1.986230e-02   6.517500e-01   1.392480e-01
  2.261490e-02   5.991875e-01   1.138066e-01
  2.536740e-02   9.788125e-01   9.634112e-02
  2.811990e-02   5.396563e-01   7.362853e-02
  3.087240e-02   6.108719e-01   6.161694e-02
  3.362490e-02   5.910719e-01   4.857941e-02
  3.637740e-02   6.532594e-01   3.927969e-02
  3.913000e-02   5.490406e-01   3.370706e-02
  4.188250e-02   5.660531e-01   2.790879e-02
  4.463500e-02   5.394406e-01   2.452704e-02
  4.738750e-02   5.266437e-01   2.138299e-02
  5.014000e-02   5.235062e-01   1.925590e-02
  5.289260e-02   5.189719e-01   1.695815e-02
  5.564510e-02   4.720741e-01   1.566869e-02
  5.839760e-02   4.501600e-01   1.380763e-02
  6.115010e-02   4.734462e-01   1.239261e-02
  6.390260e-02   4.553594e-01   1.160525e-02
  6.665510e-02   4.447388e-01   1.033587e-02
  6.940770e-02   4.545919e-01   9.714569e-03
  7.216020e-02   4.546891e-01   8.834650e-03
  7.491270e-02   4.410981e-01   8.323753e-03
  7.766520e-02   4.160778e-01   7.873200e-03
  8.041770e-02   4.264231e-01   7.305797e-03
  8.317020e-02   4.231281e-01   6.862800e-03
  8.592280e-02   4.193766e-01   6.494825e-03
  8.867530e-02   4.208888e-01   6.253909e-03
  9.142780e-02   4.072616e-01   5.887744e-03
  9.418030e-02   4.056297e-01   5.691581e-03
  9.693280e-02   4.039566e-01   5.363150e-03
  9.968540e-02   3.985734e-01   5.171163e-03
  1.024380e-01   4.009534e-01   5.031759e-03
  1.051900e-01   3.889259e-01   4.780297e-03
  1.079430e-01   3.894819e-01   4.613753e-03
  1.106950e-01   3.830175e-01   4.525359e-03
  1.134480e-01   3.847809e-01   4.334359e-03
  1.162000e-01   3.826894e-01   4.246122e-03
  1.189530e-01   3.751244e-01   4.065441e-03
  1.217050e-01   3.672234e-01   4.003925e-03
  1.244580e-01   3.652266e-01   3.900963e-03
  1.272110e-01   3.627175e-01   3.788072e-03
  1.299630e-01   3.567491e-01   3.708237e-03
  1.327160e-01   3.590309e-01   3.577478e-03
  1.354680e-01   3.475231e-01   3.555934e-03
  1.382210e-01   3.497206e-01   3.489825e-03
  1.409730e-01   3.526459e-01   3.369891e-03
  1.437260e-01   3.423178e-01   3.342166e-03
  1.464780e-01   3.351013e-01   3.228319e-03
  1.492310e-01   3.317987e-01   3.201459e-03
  1.519830e-01   3.349359e-01   3.127953e-03
  1.547360e-01   3.259797e-01   3.036813e-03
  1.574880e-01   3.239381e-01   3.051352e-03
  1.602410e-01   3.142497e-01   2.936293e-03
  1.629930e-01   3.203422e-01   2.962242e-03
  1.657460e-01   3.098068e-01   2.857967e-03
  1.684980e-01   3.029898e-01   2.789593e-03
  1.712510e-01   3.042017e-01   2.806057e-03
  1.740030e-01   2.989405e-01   2.705815e-03
  1.767560e-01   2.948380e-01   2.697548e-03
  1.795080e-01   2.903580e-01   2.642683e-03
  1.822610e-01   2.922616e-01   2.618458e-03
  1.850130e-01   2.849491e-01   2.578082e-03
  1.877660e-01   2.827722e-01   2.521109e-03
  1.905180e-01   2.815370e-01   2.507768e-03
  1.932710e-01   2.687952e-01   2.459228e-03
  1.960230e-01   2.720108e-01   2.451239e-03
  1.987760e-01   2.673696e-01   2.436125e-03
  2.015290e-01   2.639367e-01   2.412110e-03
  2.042810e-01   2.618295e-01   2.447252e-03
  2.070340e-01   2.519724e-01   2.414740e-03
  2.097860e-01   2.546381e-01   2.435054e-03
  2.125390e-01   2.475564e-01   2.399261e-03
  2.152910e-01   2.428295e-01   2.370626e-03
  2.180440e-01   2.431434e-01   2.363485e-03
  2.207960e-01   2.380502e-01   2.359856e-03
  2.235490e-01   2.340389e-01   2.328265e-03
  2.263010e-01   2.282716e-01   2.313927e-03
  2.290540e-01   2.244069e-01   2.278095e-03
  2.318060e-01   2.210647e-01   2.279093e-03
  2.345590e-01   2.235622e-01   2.255736e-03
  2.373110e-01   2.132075e-01   2.233018e-03
  2.400640e-01   2.092758e-01   2.206129e-03
  2.428160e-01   2.111905e-01   2.241458e-03
  2.455690e-01   2.081832e-01   2.189598e-03
  2.483210e-01   2.020480e-01   2.177852e-03
  2.510740e-01   2.018410e-01   2.133311e-03
  2.538260e-01   1.971507e-01   2.130502e-03
  2.565790e-01   1.963012e-01   2.158340e-03
  2.593310e-01   1.919371e-01   2.067587e-03
  2.620840e-01   1.870098e-01   2.029008e-03
  2.648360e-01   1.823116e-01   1.967711e-03
  2.675890e-01   1.775444e-01   1.935791e-03
  2.703410e-01   1.778590e-01   1.917739e-03
  2.730940e-01   1.722800e-01   1.880832e-03
  2.758460e-01   1.726313e-01   1.877999e-03
  2.785990e-01   1.668528e-01   1.835594e-03
  2.813520e-01   1.646467e-01   1.811671e-03
  2.841040e-01   1.612714e-01   1.776966e-03
  2.868570e-01   1.559402e-01   1.765707e-03
  2.896090e-01   1.542752e-01   1.752249e-03
  2.923620e-01   1.512713e-01   1.724781e-03
  2.951140e-01   1.521476e-01   1.697018e-03
  2.978670e-01   1.444168e-01   1.677029e-03
  3.006190e-01   1.427185e-01   1.664328e-03
  3.033720e-01   1.412742e-01   1.660920e-03
  3.061240e-01   1.369452e-01   1.616495e-03
  3.088770e-01   1.379631e-01   1.617503e-03
  3.116290e-01   1.339407e-01   1.598516e-03
  3.143820e-01   1.264356e-01   1.573396e-03
  3.171340e-01   1.273774e-01   1.561370e-03
  3.198870e-01   1.274775e-01   1.572356e-03
  3.226390e-01   1.206232e-01   1.594165e-03
  3.253920e-01   1.178726e-01   1.577702e-03
  3.281440e-01   1.154181e-01   1.566200e-03
  3.308970e-01   1.139141e-01   1.561964e-03
  3.336490e-01   1.081483e-01   1.549335e-03
  3.364020e-01   1.092863e-01   1.565417e-03
  3.391540e-01   1.086047e-01   1.545117e-03
  3.419070e-01   1.047751e-01   1.522328e-03
  3.446590e-01   1.026907e-01   1.532781e-03
  3.474120e-01   9.944603e-02   1.514136e-03
  3.501640e-01   9.750453e-02   1.518929e-03
  3.529170e-01   9.592062e-02   1.485378e-03
  3.556690e-01   9.425309e-02   1.485202e-03
  3.584220e-01   9.147463e-02   1.488618e-03
  3.611750e-01   8.796747e-02   1.465776e-03
  3.639270e-01   8.834550e-02   1.473363e-03
  3.666800e-01   8.661781e-02   1.450915e-03
  3.694320e-01   8.401459e-02   1.448492e-03
  3.721850e-01   8.052069e-02   1.438742e-03
  3.749370e-01   7.968800e-02   1.426048e-03
  3.776900e-01   7.882788e-02   1.421599e-03
  3.804420e-01   7.650900e-02   1.410859e-03
  3.831950e-01   7.154744e-02   1.398198e-03
  3.859470e-01   7.242237e-02   1.394927e-03
  3.887000e-01   6.810181e-02   1.379907e-03
  3.914520e-01   6.877297e-02   1.379768e-03
  3.942050e-01   6.755678e-02   1.378501e-03
  3.969570e-01   6.432672e-02   1.367833e-03
  3.997100e-01   6.242556e-02   1.348034e-03
  4.024620e-01   6.118275e-02   1.351324e-03
  4.052150e-01   6.004734e-02   1.341998e-03
  4.079670e-01   5.961384e-02   1.330625e-03
  4.107200e-01   5.734203e-02   1.322337e-03
  4.134720e-01   5.593191e-02   1.323057e-03
  4.162250e-01   5.305291e-02   1.309362e-03
  4.189770e-01   5.182431e-02   1.303971e-03
  4.217300e-01   5.129169e-02   1.295134e-03
  4.244820e-01   4.906603e-02   1.288712e-03
  4.272350e-01   4.909984e-02   1.286052e-03
  4.299870e-01   4.734331e-02   1.276323e-03
  4.327400e-01   4.606647e-02   1.261277e-03
  4.354920e-01   4.576956e-02   1.266852e-03
  4.382450e-01   4.357663e-02   1.262007e-03
  4.409980e-01   4.212819e-02   1.283154e-03
  4.437500e-01   4.256612e-02   1.279769e-03
  4.465030e-01   3.863397e-02   1.270948e-03
  4.492550e-01   4.049544e-02   1.298619e-03
  4.520080e-01   3.678675e-02   1.274666e-03
  4.547600e-01   3.638678e-02   1.297955e-03
  4.575130e-01   3.528781e-02   1.276998e-03
  4.602650e-01   3.228681e-02   1.276596e-03
  4.630180e-01   3.241538e-02   1.287698e-03
  4.657700e-01   3.352575e-02   1.281763e-03
  4.685230e-01   3.105806e-02   1.279929e-03
  4.712750e-01   2.996653e-02   1.264080e-03
  4.740280e-01   3.106953e-02   1.267573e-03
  4.767800e-01   3.001359e-02   1.252760e-03
  4.795330e-01   2.652591e-02   1.228109e-03
  4.822850e-01   2.514322e-02   1.224573e-03
  4.850380e-01   2.469391e-02   1.203961e-03
  4.877900e-01   2.754834e-02   1.215061e-03
  4.905430e-01   2.216838e-02   1.193636e-03
  4.932950e-01   2.391747e-02   1.172767e-03
  4.960480e-01   2.376819e-02   1.178806e-03
  4.988000e-01   2.182431e-02   1.164481e-03
  5.015530e-01   2.220094e-02   1.172111e-03
  5.043050e-01   2.133553e-02   1.151241e-03
  5.070580e-01   2.157319e-02   1.149520e-03
  5.098100e-01   2.050328e-02   1.148553e-03
  5.125630e-01   1.696750e-02   1.131184e-03
  5.153160e-01   1.825059e-02   1.135391e-03
  5.180680e-01   1.823500e-02   1.135354e-03
  5.208210e-01   1.721744e-02   1.140517e-03
  5.235730e-01   1.681459e-02   1.122796e-03
  5.263260e-01   1.733231e-02   1.124477e-03
  5.290780e-01   1.605047e-02   1.117212e-03
  5.318310e-01   1.759228e-02   1.126218e-03
