Sample description: 
Sample:   c= 1.3600 mg/ml  Code: P1_1_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_1_P1_Buffer_0013_sub.dat
  3.584220e-01   9.569397e-02   5.284343e-04
  3.611750e-01   9.277162e-02   5.185497e-04
  3.639270e-01   9.165824e-02   5.192434e-04
  3.666800e-01   8.818566e-02   5.047405e-04
  3.694320e-01   8.672007e-02   5.055957e-04
  3.721850e-01   8.430743e-02   4.999121e-04
  3.749370e-01   8.262169e-02   4.931021e-04
  3.776900e-01   7.944551e-02   4.837482e-04
  3.804420e-01   7.758779e-02   4.820934e-04
  3.831950e-01   7.555199e-02   4.772129e-04
  3.859470e-01   7.476015e-02   4.731018e-04
  3.887000e-01   7.253240e-02   4.676408e-04
  3.914520e-01   7.087695e-02   4.641760e-04
  3.942050e-01   6.874436e-02   4.602125e-04
  3.969570e-01   6.699018e-02   4.548928e-04
  3.997100e-01   6.518119e-02   4.478371e-04
  4.024620e-01   6.407492e-02   4.457035e-04
  4.052150e-01   6.194072e-02   4.407933e-04
  4.079670e-01   6.042318e-02   4.350646e-04
  4.107200e-01   5.837051e-02   4.297015e-04
  4.134720e-01   5.754135e-02   4.279117e-04
  4.162250e-01   5.593899e-02   4.238566e-04
  4.189770e-01   5.431358e-02   4.185096e-04
  4.217300e-01   5.292729e-02   4.141877e-04
  4.244820e-01   5.133170e-02   4.086024e-04
  4.272350e-01   5.066676e-02   4.063082e-04
  4.299870e-01   4.870220e-02   4.013563e-04
  4.327400e-01   4.696754e-02   3.964182e-04
  4.354920e-01   4.613104e-02   3.956994e-04
  4.382450e-01   4.491385e-02   3.939201e-04
  4.409980e-01   4.301183e-02   3.977114e-04
  4.437500e-01   4.225452e-02   3.937201e-04
  4.465030e-01   4.074803e-02   3.887540e-04
  4.492550e-01   4.007740e-02   3.951821e-04
  4.520080e-01   3.881601e-02   3.892023e-04
  4.547600e-01   3.775234e-02   3.914000e-04
  4.575130e-01   3.582062e-02   3.833501e-04
  4.602650e-01   3.567356e-02   3.848229e-04
  4.630180e-01   3.480378e-02   3.856014e-04
  4.657700e-01   3.339141e-02   3.810930e-04
  4.685230e-01   3.286368e-02   3.793054e-04
  4.712750e-01   3.185677e-02   3.735058e-04
  4.740280e-01   3.075779e-02   3.716658e-04
  4.767800e-01   3.045592e-02   3.652785e-04
  4.795330e-01   2.932055e-02   3.593587e-04
  4.822850e-01   2.793514e-02   3.551392e-04
  4.850380e-01   2.723158e-02   3.497568e-04
  4.877900e-01   2.673312e-02   3.487507e-04
  4.905430e-01   2.546240e-02   3.426371e-04
  4.932950e-01   2.440188e-02   3.338287e-04
  4.960480e-01   2.344492e-02   3.330786e-04
  4.988000e-01   2.254335e-02   3.276608e-04
  5.015530e-01   2.220916e-02   3.280112e-04
  5.043050e-01   2.222419e-02   3.229741e-04
  5.070580e-01   2.138621e-02   3.196072e-04
  5.098100e-01   1.982619e-02   3.160751e-04
  5.125630e-01   1.985629e-02   3.144618e-04
  5.153160e-01   1.966079e-02   3.140898e-04
  5.180680e-01   1.857204e-02   3.107915e-04
  5.208210e-01   1.776125e-02   3.104244e-04
  5.235730e-01   1.749200e-02   3.077476e-04
  5.263260e-01   1.634813e-02   3.042472e-04
  5.290780e-01   1.650218e-02   3.044688e-04
  5.318310e-01   1.614646e-02   3.049685e-04
  5.345830e-01   1.535615e-02   3.014976e-04
  5.373360e-01   1.592846e-02   3.006548e-04
  5.400880e-01   1.477096e-02   2.932436e-04
  5.428410e-01   1.383977e-02   2.906132e-04
  5.455930e-01   1.339035e-02   2.906226e-04
  5.483460e-01   1.315250e-02   2.905059e-04
  5.510980e-01   1.279077e-02   2.871491e-04
  5.538510e-01   1.225262e-02   2.836512e-04
  5.566030e-01   1.248719e-02   2.828139e-04
  5.593560e-01   1.238351e-02   2.821873e-04
  5.621080e-01   1.173135e-02   2.784292e-04
  5.648610e-01   1.121410e-02   2.761981e-04
  5.676130e-01   1.103870e-02   2.803288e-04
  5.703660e-01   1.069389e-02   2.760824e-04
  5.731180e-01   9.876015e-03   2.731160e-04
  5.758710e-01   1.023860e-02   2.715479e-04
  5.786230e-01   9.901654e-03   2.719889e-04
  5.813760e-01   9.468382e-03   2.719775e-04
  5.841280e-01   9.456985e-03   2.691959e-04
  5.868810e-01   8.760132e-03   2.678187e-04
  5.896330e-01   8.424728e-03   2.665759e-04
  5.923860e-01   8.971838e-03   2.657171e-04
  5.951390e-01   8.316235e-03   2.677463e-04
  5.978910e-01   8.037529e-03   2.626542e-04
  6.006440e-01   7.807449e-03   2.632634e-04
  6.033960e-01   7.874324e-03   2.635268e-04
  6.061490e-01   7.592412e-03   2.601389e-04
  6.089010e-01   7.484434e-03   2.596551e-04
  6.116540e-01   7.493088e-03   2.601015e-04
  6.144060e-01   7.553103e-03   2.601683e-04
  6.171590e-01   7.322051e-03   2.582168e-04
  6.199110e-01   7.128162e-03   2.555100e-04
  6.226640e-01   6.636912e-03   2.563820e-04
  6.254160e-01   7.172096e-03   2.559067e-04
  6.281690e-01   6.604647e-03   2.551479e-04
  6.309210e-01   6.073632e-03   2.517195e-04
  6.336740e-01   6.108250e-03   2.522912e-04
  6.364260e-01   6.187787e-03   2.560865e-04
  6.391790e-01   6.081588e-03   2.508791e-04
  6.419310e-01   5.729397e-03   2.511247e-04
  6.446840e-01   6.413221e-03   2.495378e-04
  6.474360e-01   5.393029e-03   2.483734e-04
  6.501890e-01   5.543272e-03   2.515485e-04
  6.529410e-01   5.559779e-03   2.485472e-04
  6.556940e-01   5.642971e-03   2.477840e-04
  6.584460e-01   5.620625e-03   2.475333e-04
  6.611990e-01   5.594096e-03   2.480649e-04
  6.639510e-01   4.925618e-03   2.455674e-04
  6.667040e-01   5.814515e-03   2.473870e-04
  6.694560e-01   5.319426e-03   2.449297e-04
  6.722090e-01   5.345118e-03   2.472528e-04
  6.749620e-01   5.496853e-03   2.446199e-04
  6.777140e-01   4.914169e-03   2.430652e-04
  6.804670e-01   5.201926e-03   2.440612e-04
  6.832190e-01   4.961022e-03   2.443334e-04
  6.859720e-01   5.611713e-03   2.438890e-04
  6.887240e-01   5.220147e-03   2.435552e-04
  6.914770e-01   5.101360e-03   2.402000e-04
  6.942290e-01   4.786331e-03   2.417788e-04
  6.969820e-01   4.897375e-03   2.405823e-04
  6.997340e-01   5.315213e-03   2.414383e-04
  7.024870e-01   4.563456e-03   2.380451e-04
  7.052390e-01   5.156456e-03   2.409904e-04
  7.079920e-01   4.542471e-03   2.400054e-04
  7.107440e-01   4.912213e-03   2.389476e-04
  7.134970e-01   4.768272e-03   2.382509e-04
  7.162490e-01   4.478324e-03   2.385093e-04
  7.190020e-01   4.498287e-03   2.377204e-04
  7.217540e-01   4.615059e-03   2.374212e-04
  7.245070e-01   4.776000e-03   2.370729e-04
  7.272590e-01   4.378118e-03   2.367415e-04
  7.300120e-01   4.658243e-03   2.369312e-04
  7.327640e-01   4.258566e-03   2.349684e-04
  7.355170e-01   4.355978e-03   2.338595e-04
  7.382690e-01   4.634831e-03   2.350070e-04
  7.410220e-01   4.701000e-03   2.359293e-04
  7.437740e-01   4.248346e-03   2.338944e-04
  7.465270e-01   4.299412e-03   2.340855e-04
  7.492790e-01   4.729993e-03   2.326765e-04
  7.520320e-01   4.277721e-03   2.326416e-04
  7.547850e-01   4.665221e-03   2.349768e-04
  7.575370e-01   4.333625e-03   2.314487e-04
  7.602900e-01   4.542088e-03   2.332841e-04
  7.630420e-01   4.570397e-03   2.309246e-04
  7.657950e-01   3.777368e-03   2.312095e-04
  7.685470e-01   4.206654e-03   2.315954e-04
  7.713000e-01   4.134324e-03   2.292660e-04
  7.740520e-01   4.303728e-03   2.322261e-04
  7.768050e-01   3.845368e-03   2.290724e-04
  7.795570e-01   4.493574e-03   2.314507e-04
  7.823100e-01   3.982390e-03   2.291487e-04
  7.850620e-01   4.083816e-03   2.336643e-04
  7.878150e-01   4.124581e-03   2.386073e-04
  7.905670e-01   4.623949e-03   2.393844e-04
  7.933200e-01   3.839213e-03   2.404060e-04
  7.960720e-01   4.080750e-03   2.402984e-04
  7.988250e-01   4.156294e-03   2.414990e-04
  8.015770e-01   4.101007e-03   2.436260e-04
  8.043300e-01   4.138397e-03   2.425867e-04
  8.070820e-01   4.030456e-03   2.447533e-04
  8.098350e-01   4.191360e-03   2.451795e-04
  8.125870e-01   3.750897e-03   2.443517e-04
  8.153400e-01   3.980618e-03   2.461575e-04
  8.180920e-01   4.032140e-03   2.465169e-04
  8.208450e-01   4.157757e-03   2.489052e-04
  8.235970e-01   3.925978e-03   2.470396e-04
  8.263500e-01   4.084632e-03   2.495632e-04
  8.291030e-01   4.309471e-03   2.484976e-04
  8.318550e-01   4.156809e-03   2.473167e-04
  8.346080e-01   3.768162e-03   2.516573e-04
  8.373600e-01   3.817331e-03   2.500918e-04
  8.401130e-01   3.555662e-03   2.508742e-04
  8.428650e-01   3.653596e-03   2.473622e-04
  8.456180e-01   3.688721e-03   2.431701e-04
  8.483700e-01   3.650147e-03   2.422559e-04
  8.511230e-01   3.507397e-03   2.385718e-04
  8.538750e-01   3.115919e-03   2.369493e-04
  8.566280e-01   3.468647e-03   2.372301e-04
  8.593800e-01   3.738735e-03   2.354975e-04
  8.621330e-01   3.272059e-03   2.342982e-04
  8.648850e-01   3.479066e-03   2.328769e-04
  8.676380e-01   3.588184e-03   2.326729e-04
  8.703900e-01   3.252669e-03   2.327265e-04
  8.731430e-01   3.411309e-03   2.336978e-04
  8.758950e-01   3.214772e-03   2.302293e-04
  8.786480e-01   3.295596e-03   2.287170e-04
  8.814000e-01   3.081456e-03   2.300909e-04
  8.841530e-01   3.744000e-03   2.303266e-04
  8.869050e-01   3.307860e-03   2.305110e-04
  8.896580e-01   3.396375e-03   2.312393e-04
  8.924100e-01   3.075662e-03   2.325333e-04
  8.951630e-01   3.037096e-03   2.363951e-04
  8.979150e-01   3.220478e-03   2.365901e-04
  9.006680e-01   2.953235e-03   2.369525e-04
  9.034200e-01   3.016978e-03   2.397563e-04
  9.061730e-01   3.422750e-03   2.408981e-04
  9.089260e-01   3.015037e-03   2.402101e-04
  9.116780e-01   2.983132e-03   2.387236e-04
  9.144310e-01   2.533294e-03   2.389030e-04
  9.171830e-01   2.982015e-03   2.409802e-04
  9.199360e-01   3.378750e-03   2.409061e-04
  9.226880e-01   2.617316e-03   2.349129e-04
  9.254410e-01   3.112074e-03   2.325662e-04
  9.281930e-01   2.533235e-03   2.287673e-04
  9.309460e-01   2.783250e-03   2.284248e-04
  9.336980e-01   2.701978e-03   2.265853e-04
  9.364510e-01   3.018625e-03   2.248885e-04
  9.392030e-01   3.087272e-03   2.263955e-04
