Sample description: 
Sample:   c= 1.0000 mg/ml  Code: P1_2_P1_Buffer
Parent(s): datacollection/data/absolute/img_0016_00001.dat datacollection/data/absolute/img_0016_00002.dat datacollection/data/absolute/img_0016_00003.dat datacollection/data/absolute/img_0016_00004.dat datacollection/data/absolute/img_0016_00005.dat datacollection/data/absolute/img_0016_00006.dat datacollection/data/absolute/img_0016_00007.dat datacollection/data/absolute/img_0016_00008.dat datacollection/data/absolute/img_0016_00009.dat datacollection/data/absolute/img_0016_00010.dat datacollection/data/absolute/img_0016_00011.dat datacollection/data/absolute/img_0016_00012.dat datacollection/data/absolute/img_0016_00013.dat datacollection/data/absolute/img_0016_00014.dat datacollection/data/absolute/img_0016_00015.dat datacollection/data/absolute/img_0016_00016.dat datacollection/data/absolute/img_0016_00017.dat datacollection/data/absolute/img_0016_00018.dat datacollection/data/absolute/img_0016_00019.dat datacollection/data/absolute/img_0016_00020.dat datacollection/data/absolute/img_0016_00021.dat datacollection/data/absolute/img_0016_00022.dat datacollection/data/absolute/img_0016_00023.dat datacollection/data/absolute/img_0016_00024.dat datacollection/data/absolute/img_0016_00025.dat datacollection/data/absolute/img_0016_00026.dat datacollection/data/absolute/img_0016_00027.dat datacollection/data/absolute/img_0016_00028.dat datacollection/data/absolute/img_0016_00029.dat datacollection/data/absolute/img_0016_00030.dat datacollection/data/absolute/img_0016_00031.dat datacollection/data/absolute/img_0016_00032.dat datacollection/data/absolute/img_0016_00033.dat datacollection/data/absolute/img_0016_00034.dat datacollection/data/absolute/img_0016_00035.dat datacollection/data/absolute/img_0016_00036.dat datacollection/data/absolute/img_0016_00037.dat datacollection/data/absolute/img_0016_00038.dat datacollection/data/absolute/img_0016_00039.dat datacollection/data/absolute/img_0016_00040.dat datacollection/data/absolute/img_0016_00041.dat datacollection/data/absolute/img_0016_00042.dat datacollection/data/absolute/img_0016_00043.dat datacollection/data/absolute/img_0016_00044.dat datacollection/data/absolute/img_0016_00045.dat datacollection/data/absolute/img_0016_00046.dat datacollection/data/absolute/img_0016_00047.dat datacollection/data/absolute/img_0016_00048.dat datacollection/data/absolute/img_0016_00049.dat datacollection/data/absolute/img_0016_00050.dat  
  1.710980e-02   4.846519e+01   7.221169e-02
  1.986230e-02   1.932084e+01   3.647506e-02
  2.261490e-02   1.552317e+01   2.984572e-02
  2.536740e-02   1.447151e+01   2.495619e-02
  2.811990e-02   1.066371e+01   1.955622e-02
  3.087240e-02   7.847133e+00   1.643702e-02
  3.362490e-02   5.689052e+00   1.310799e-02
  3.637740e-02   4.494154e+00   1.066651e-02
  3.913000e-02   3.475750e+00   9.312194e-03
  4.188250e-02   2.862208e+00   7.847973e-03
  4.463500e-02   2.355840e+00   6.990146e-03
  4.738750e-02   2.045231e+00   6.186268e-03
  5.014000e-02   1.772799e+00   5.667869e-03
  5.289260e-02   1.558469e+00   5.079084e-03
  5.564510e-02   1.397524e+00   4.786725e-03
  5.839760e-02   1.240656e+00   4.328398e-03
  6.115010e-02   1.132757e+00   3.949725e-03
  6.390260e-02   1.038902e+00   3.797772e-03
  6.665510e-02   9.504224e-01   3.455814e-03
  6.940770e-02   8.879811e-01   3.316233e-03
  7.216020e-02   8.182071e-01   3.074626e-03
