  2.483210e-01   3.288639e-01   1.155798e-03
  2.510740e-01   3.230318e-01   1.124621e-03
  2.538260e-01   3.189038e-01   1.126358e-03
  2.565790e-01   3.155052e-01   1.134722e-03
  2.593310e-01   3.085417e-01   1.082159e-03
  2.620840e-01   3.043717e-01   1.065530e-03
  2.648360e-01   2.996644e-01   1.028873e-03
  2.675890e-01   2.912681e-01   1.004202e-03
  2.703410e-01   2.896570e-01   9.925378e-04
  2.730940e-01   2.850216e-01   9.741070e-04
  2.758460e-01   2.820282e-01   9.699168e-04
  2.785990e-01   2.758611e-01   9.465882e-04
  2.813520e-01   2.721285e-01   9.297822e-04
  2.841040e-01   2.653934e-01   9.066541e-04
  2.868570e-01   2.625883e-01   9.010388e-04
  2.896090e-01   2.566937e-01   8.908706e-04
  2.923620e-01   2.509774e-01   8.708743e-04
  2.951140e-01   2.483694e-01   8.523439e-04
  2.978670e-01   2.449338e-01   8.485762e-04
  3.006190e-01   2.402403e-01   8.340744e-04
  3.033720e-01   2.373377e-01   8.304077e-04
  3.061240e-01   2.312384e-01   8.049537e-04
  3.088770e-01   2.283119e-01   7.985490e-04
  3.116290e-01   2.245937e-01   7.907658e-04
  3.143820e-01   2.197876e-01   7.785195e-04
  3.171340e-01   2.157668e-01   7.647043e-04
  3.198870e-01   2.129101e-01   7.644173e-04
  3.226390e-01   2.081830e-01   7.744773e-04
  3.253920e-01   2.044643e-01   7.650015e-04
  3.281440e-01   2.020487e-01   7.592119e-04
  3.308970e-01   1.973370e-01   7.509338e-04
  3.336490e-01   1.938475e-01   7.448843e-04
  3.364020e-01   1.892216e-01   7.414523e-04
  3.391540e-01   1.876930e-01   7.329463e-04
  3.419070e-01   1.822639e-01   7.158173e-04
  3.446590e-01   1.788627e-01   7.184795e-04
  3.474120e-01   1.771811e-01   7.098090e-04
  3.501640e-01   1.745451e-01   7.115215e-04
  3.529170e-01   1.686528e-01   6.841504e-04
  3.556690e-01   1.669432e-01   6.850614e-04
  3.584220e-01   1.643194e-01   6.841105e-04
  3.611750e-01   1.602355e-01   6.706158e-04
  3.639270e-01   1.588987e-01   6.710721e-04
  3.666800e-01   1.532142e-01   6.520794e-04
  3.694320e-01   1.518440e-01   6.522958e-04
  3.721850e-01   1.484139e-01   6.443622e-04
  3.749370e-01   1.462223e-01   6.350029e-04
  3.776900e-01   1.418676e-01   6.220023e-04
  3.804420e-01   1.393120e-01   6.193021e-04
  3.831950e-01   1.364501e-01   6.124348e-04
  3.859470e-01   1.354505e-01   6.068373e-04
  3.887000e-01   1.325768e-01   5.989601e-04
  3.914520e-01   1.300522e-01   5.941455e-04
  3.942050e-01   1.272704e-01   5.882157e-04
  3.969570e-01   1.247093e-01   5.809008e-04
  3.997100e-01   1.225508e-01   5.709887e-04
  4.024620e-01   1.206051e-01   5.681676e-04
  4.052150e-01   1.179017e-01   5.609238e-04
  4.079670e-01   1.157046e-01   5.531188e-04
  4.107200e-01   1.130076e-01   5.453789e-04
  4.134720e-01   1.115203e-01   5.430217e-04
  4.162250e-01   1.095646e-01   5.370184e-04
  4.189770e-01   1.072158e-01   5.296253e-04
  4.217300e-01   1.057500e-01   5.232210e-04
  4.244820e-01   1.034317e-01   5.155320e-04
  4.272350e-01   1.021123e-01   5.126238e-04
  4.299870e-01   9.930199e-02   5.055329e-04
  4.327400e-01   9.752735e-02   4.980304e-04
  4.354920e-01   9.564669e-02   4.972307e-04
  4.382450e-01   9.442505e-02   4.940476e-04
  4.409980e-01   9.195664e-02   4.976668e-04
  4.437500e-01   9.104919e-02   4.921578e-04
  4.465030e-01   8.856452e-02   4.853961e-04
  4.492550e-01   8.793266e-02   4.928148e-04
  4.520080e-01   8.601847e-02   4.847355e-04
  4.547600e-01   8.434925e-02   4.869653e-04
  4.575130e-01   8.199342e-02   4.755090e-04
  4.602650e-01   8.180278e-02   4.772286e-04
  4.630180e-01   8.082975e-02   4.774545e-04
  4.657700e-01   7.867875e-02   4.710527e-04
  4.685230e-01   7.763688e-02   4.687035e-04
  4.712750e-01   7.636853e-02   4.607442e-04
  4.740280e-01   7.506384e-02   4.575345e-04
  4.767800e-01   7.446508e-02   4.495714e-04
  4.795330e-01   7.291772e-02   4.414460e-04
  4.822850e-01   7.134691e-02   4.349920e-04
  4.850380e-01   7.039749e-02   4.278458e-04
  4.877900e-01   6.966283e-02   4.262560e-04
  4.905430e-01   6.784047e-02   4.178203e-04
  4.932950e-01   6.640250e-02   4.062154e-04
  4.960480e-01   6.516944e-02   4.044576e-04
  4.988000e-01   6.391632e-02   3.971242e-04
  5.015530e-01   6.327028e-02   3.973668e-04
  5.043050e-01   6.299124e-02   3.914520e-04
  5.070580e-01   6.209578e-02   3.864997e-04
  5.098100e-01   5.995439e-02   3.808317e-04
  5.125630e-01   5.993901e-02   3.789492e-04
  5.153160e-01   5.965865e-02   3.783277e-04
  5.180680e-01   5.810805e-02   3.733685e-04
  5.208210e-01   5.700849e-02   3.721334e-04
  5.235730e-01   5.685290e-02   3.685513e-04
  5.263260e-01   5.549168e-02   3.631152e-04
  5.290780e-01   5.543296e-02   3.636741e-04
  5.318310e-01   5.503257e-02   3.638615e-04
  5.345830e-01   5.391933e-02   3.589175e-04
  5.373360e-01   5.397842e-02   3.588739e-04
  5.400880e-01   5.271041e-02   3.486757e-04
  5.428410e-01   5.164716e-02   3.444572e-04
  5.455930e-01   5.120633e-02   3.438965e-04
  5.483460e-01   5.106288e-02   3.434134e-04
  5.510980e-01   5.033232e-02   3.391451e-04
  5.538510e-01   4.963955e-02   3.343936e-04
  5.566030e-01   4.959891e-02   3.338246e-04
  5.593560e-01   4.958353e-02   3.329152e-04
  5.621080e-01   4.856715e-02   3.277948e-04
  5.648610e-01   4.774957e-02   3.246215e-04
  5.676130e-01   4.823088e-02   3.289750e-04
  5.703660e-01   4.726423e-02   3.237779e-04
  5.731180e-01   4.657156e-02   3.191602e-04
  5.758710e-01   4.656769e-02   3.179488e-04
  5.786230e-01   4.618183e-02   3.180314e-04
  5.813760e-01   4.572103e-02   3.174354e-04
  5.841280e-01   4.564637e-02   3.141951e-04
  5.868810e-01   4.496040e-02   3.116291e-04
  5.896330e-01   4.432700e-02   3.098170e-04
  5.923860e-01   4.481530e-02   3.095987e-04
  5.951390e-01   4.448209e-02   3.109390e-04
  5.978910e-01   4.404803e-02   3.046911e-04
  6.006440e-01   4.349250e-02   3.051719e-04
  6.033960e-01   4.360061e-02   3.055621e-04
  6.061490e-01   4.322072e-02   3.012691e-04
  6.089010e-01   4.283187e-02   3.006400e-04
  6.116540e-01   4.316651e-02   3.010667e-04
  6.144060e-01   4.292300e-02   3.013242e-04
  6.171590e-01   4.275146e-02   2.987174e-04
  6.199110e-01   4.230467e-02   2.953866e-04
  6.226640e-01   4.164858e-02   2.957342e-04
  6.254160e-01   4.249291e-02   2.958656e-04
  6.281690e-01   4.172650e-02   2.942326e-04
  6.309210e-01   4.126405e-02   2.894999e-04
  6.336740e-01   4.127560e-02   2.902102e-04
  6.364260e-01   4.140569e-02   2.946788e-04
  6.391790e-01   4.083067e-02   2.886558e-04
  6.419310e-01   4.088218e-02   2.883218e-04
  6.446840e-01   4.133079e-02   2.875441e-04
  6.474360e-01   4.024757e-02   2.847399e-04
  6.501890e-01   4.043001e-02   2.885987e-04
  6.529410e-01   4.068390e-02   2.851212e-04
  6.556940e-01   4.083573e-02   2.843545e-04
  6.584460e-01   4.048817e-02   2.841054e-04
  6.611990e-01   4.041934e-02   2.846897e-04
  6.639510e-01   3.991554e-02   2.808072e-04
  6.667040e-01   4.088143e-02   2.841704e-04
  6.694560e-01   3.985507e-02   2.807572e-04
  6.722090e-01   4.027732e-02   2.833664e-04
  6.749620e-01   4.035237e-02   2.805877e-04
  6.777140e-01   3.973592e-02   2.779660e-04
  6.804670e-01   4.013140e-02   2.795043e-04
  6.832190e-01   4.002275e-02   2.794329e-04
  6.859720e-01   4.026182e-02   2.799649e-04
  6.887240e-01   3.994067e-02   2.789959e-04
  6.914770e-01   3.984435e-02   2.749758e-04
  6.942290e-01   3.948896e-02   2.763332e-04
  6.969820e-01   3.933507e-02   2.751821e-04
  6.997340e-01   4.012128e-02   2.766894e-04
  7.024870e-01   3.909246e-02   2.717745e-04
  7.052390e-01   4.007421e-02   2.759255e-04
  7.079920e-01   3.924549e-02   2.739461e-04
  7.107440e-01   3.961174e-02   2.732795e-04
  7.134970e-01   3.953094e-02   2.722624e-04
  7.162490e-01   3.923856e-02   2.721334e-04
  7.190020e-01   3.916194e-02   2.712825e-04
  7.217540e-01   3.940315e-02   2.710866e-04
  7.245070e-01   3.924642e-02   2.709849e-04
  7.272590e-01   3.916010e-02   2.699709e-04
  7.300120e-01   3.950833e-02   2.705772e-04
  7.327640e-01   3.890581e-02   2.677982e-04
  7.355170e-01   3.895204e-02   2.666861e-04
  7.382690e-01   3.924583e-02   2.683958e-04
  7.410220e-01   3.940888e-02   2.695234e-04
  7.437740e-01   3.918784e-02   2.665077e-04
  7.465270e-01   3.880526e-02   2.668723e-04
  7.492790e-01   3.917190e-02   2.659018e-04
  7.520320e-01   3.872536e-02   2.652087e-04
  7.547850e-01   3.936816e-02   2.683865e-04
