  2.483210e-01   1.802622e-01   8.558069e-04
  2.510740e-01   1.760948e-01   8.304438e-04
  2.538260e-01   1.742163e-01   8.326109e-04
  2.565790e-01   1.727805e-01   8.398316e-04
  2.593310e-01   1.699011e-01   8.031127e-04
  2.620840e-01   1.662077e-01   7.874778e-04
  2.648360e-01   1.636909e-01   7.605246e-04
  2.675890e-01   1.623941e-01   7.499001e-04
  2.703410e-01   1.600950e-01   7.379785e-04
  2.730940e-01   1.566437e-01   7.222384e-04
  2.758460e-01   1.554576e-01   7.201839e-04
  2.785990e-01   1.526349e-01   7.042039e-04
  2.813520e-01   1.507711e-01   6.921586e-04
  2.841040e-01   1.483641e-01   6.779726e-04
  2.868570e-01   1.443255e-01   6.680822e-04
  2.896090e-01   1.434362e-01   6.660238e-04
  2.923620e-01   1.422279e-01   6.556594e-04
  2.951140e-01   1.397151e-01   6.393513e-04
  2.978670e-01   1.379190e-01   6.368321e-04
  3.006190e-01   1.348833e-01   6.250379e-04
  3.033720e-01   1.338211e-01   6.236135e-04
  3.061240e-01   1.314557e-01   6.069945e-04
  3.088770e-01   1.291392e-01   6.006553e-04
  3.116290e-01   1.275610e-01   5.960094e-04
  3.143820e-01   1.263321e-01   5.902999e-04
  3.171340e-01   1.237857e-01   5.792747e-04
  3.198870e-01   1.214212e-01   5.773343e-04
  3.226390e-01   1.197389e-01   5.874372e-04
  3.253920e-01   1.178297e-01   5.808102e-04
  3.281440e-01   1.158069e-01   5.748475e-04
  3.308970e-01   1.139387e-01   5.706590e-04
  3.336490e-01   1.129399e-01   5.686239e-04
  3.364020e-01   1.104999e-01   5.666752e-04
  3.391540e-01   1.090231e-01   5.586828e-04
  3.419070e-01   1.069751e-01   5.484474e-04
  3.446590e-01   1.049890e-01   5.505204e-04
  3.474120e-01   1.039034e-01   5.436183e-04
  3.501640e-01   1.020543e-01   5.441384e-04
  3.529170e-01   1.004791e-01   5.281299e-04
  3.556690e-01   9.814013e-02   5.253184e-04
  3.584220e-01   9.633615e-02   5.238692e-04
  3.611750e-01   9.565147e-02   5.181883e-04
  3.639270e-01   9.406083e-02   5.163750e-04
  3.666800e-01   9.243147e-02   5.065302e-04
  3.694320e-01   9.124760e-02   5.057165e-04
  3.721850e-01   8.923744e-02   4.997134e-04
  3.749370e-01   8.786385e-02   4.922918e-04
  3.776900e-01   8.754435e-02   4.886871e-04
  3.804420e-01   8.576345e-02   4.859853e-04
  3.831950e-01   8.460827e-02   4.823131e-04
  3.859470e-01   8.297235e-02   4.749983e-04
  3.887000e-01   8.182433e-02   4.705981e-04
  3.914520e-01   8.073524e-02   4.681909e-04
  3.942050e-01   8.006978e-02   4.666207e-04
  3.969570e-01   7.815976e-02   4.599396e-04
  3.997100e-01   7.705249e-02   4.528048e-04
  4.024620e-01   7.662192e-02   4.529336e-04
  4.052150e-01   7.462594e-02   4.463034e-04
  4.079670e-01   7.415208e-02   4.428442e-04
  4.107200e-01   7.364012e-02   4.403052e-04
  4.134720e-01   7.278003e-02   4.387297e-04
  4.162250e-01   7.077570e-02   4.316566e-04
  4.189770e-01   6.956411e-02   4.266544e-04
  4.217300e-01   6.868308e-02   4.217270e-04
  4.244820e-01   6.798230e-02   4.180076e-04
  4.272350e-01   6.648214e-02   4.136844e-04
  4.299870e-01   6.601104e-02   4.122079e-04
  4.327400e-01   6.539012e-02   4.078537e-04
  4.354920e-01   6.425584e-02   4.076071e-04
  4.382450e-01   6.269612e-02   4.026196e-04
  4.409980e-01   6.259939e-02   4.106589e-04
  4.437500e-01   6.160114e-02   4.048688e-04
  4.465030e-01   6.043623e-02   4.010156e-04
  4.492550e-01   6.068615e-02   4.094542e-04
  4.520080e-01   5.954004e-02   4.033311e-04
  4.547600e-01   5.875009e-02   4.064423e-04
  4.575130e-01   5.774563e-02   3.990924e-04
  4.602650e-01   5.660081e-02   3.970164e-04
  4.630180e-01   5.644610e-02   3.990455e-04
  4.657700e-01   5.605295e-02   3.976497e-04
  4.685230e-01   5.531902e-02   3.956824e-04
  4.712750e-01   5.452219e-02   3.893459e-04
  4.740280e-01   5.377207e-02   3.872816e-04
  4.767800e-01   5.280705e-02   3.786458e-04
  4.795330e-01   5.211044e-02   3.732386e-04
  4.822850e-01   5.159092e-02   3.699448e-04
  4.850380e-01   5.123790e-02   3.650651e-04
  4.877900e-01   5.044332e-02   3.627712e-04
  4.905430e-01   5.070443e-02   3.612734e-04
  4.932950e-01   4.993234e-02   3.522929e-04
  4.960480e-01   4.960806e-02   3.529246e-04
  4.988000e-01   4.817238e-02   3.447937e-04
  5.015530e-01   4.851777e-02   3.480154e-04
  5.043050e-01   4.780546e-02   3.410598e-04
  5.070580e-01   4.690887e-02   3.359740e-04
  5.098100e-01   4.624213e-02   3.345009e-04
  5.125630e-01   4.584626e-02   3.314553e-04
  5.153160e-01   4.633116e-02   3.334307e-04
  5.180680e-01   4.545183e-02   3.302563e-04
  5.208210e-01   4.504486e-02   3.308377e-04
  5.235730e-01   4.472356e-02   3.269208e-04
  5.263260e-01   4.458411e-02   3.255103e-04
  5.290780e-01   4.376007e-02   3.231581e-04
  5.318310e-01   4.291027e-02   3.213292e-04
  5.345830e-01   4.257691e-02   3.189850e-04
  5.373360e-01   4.318275e-02   3.210200e-04
  5.400880e-01   4.292736e-02   3.147003e-04
  5.428410e-01   4.232176e-02   3.118485e-04
