Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 3.501640e-001  1.034693e-001  5.478459e-004
 3.529170e-001  9.897419e-002  5.277360e-004
 3.556690e-001  9.777022e-002  5.286351e-004
 3.584220e-001  9.569397e-002  5.284343e-004
 3.611750e-001  9.277162e-002  5.185497e-004
 3.639270e-001  9.165824e-002  5.192434e-004
 3.666800e-001  8.818566e-002  5.047405e-004
 3.694320e-001  8.672007e-002  5.055957e-004
 3.721850e-001  8.430743e-002  4.999121e-004
 3.749370e-001  8.262169e-002  4.931021e-004
 3.776900e-001  7.944551e-002  4.837482e-004
 3.804420e-001  7.758779e-002  4.820934e-004
 3.831950e-001  7.555199e-002  4.772129e-004
 3.859470e-001  7.476015e-002  4.731018e-004
 3.887000e-001  7.253240e-002  4.676408e-004
 3.914520e-001  7.087695e-002  4.641760e-004
 3.942050e-001  6.874436e-002  4.602125e-004
 3.969570e-001  6.699018e-002  4.548928e-004
 3.997100e-001  6.518119e-002  4.478371e-004
 4.024620e-001  6.407492e-002  4.457035e-004
 4.052150e-001  6.194072e-002  4.407933e-004
 4.079670e-001  6.042318e-002  4.350646e-004
 4.107200e-001  5.837051e-002  4.297015e-004
 4.134720e-001  5.754135e-002  4.279117e-004
 4.162250e-001  5.593899e-002  4.238566e-004
 4.189770e-001  5.431358e-002  4.185096e-004
 4.217300e-001  5.292729e-002  4.141877e-004
 4.244820e-001  5.133170e-002  4.086024e-004
 4.272350e-001  5.066676e-002  4.063082e-004
 4.299870e-001  4.870220e-002  4.013563e-004
 4.327400e-001  4.696754e-002  3.964182e-004
 4.354920e-001  4.613104e-002  3.956994e-004
 4.382450e-001  4.491385e-002  3.939201e-004
 4.409980e-001  4.301183e-002  3.977114e-004
 4.437500e-001  4.225452e-002  3.937201e-004
 4.465030e-001  4.074803e-002  3.887540e-004
 4.492550e-001  4.007740e-002  3.951821e-004
 4.520080e-001  3.881601e-002  3.892023e-004
 4.547600e-001  3.775234e-002  3.914000e-004
 4.575130e-001  3.582062e-002  3.833501e-004
 4.602650e-001  3.567356e-002  3.848229e-004
 4.630180e-001  3.480378e-002  3.856014e-004
 4.657700e-001  3.339141e-002  3.810930e-004
 4.685230e-001  3.286368e-002  3.793054e-004
 4.712750e-001  3.185677e-002  3.735058e-004
 4.740280e-001  3.075779e-002  3.716658e-004
 4.767800e-001  3.045592e-002  3.652785e-004
 4.795330e-001  2.932055e-002  3.593587e-004
 4.822850e-001  2.793514e-002  3.551392e-004
 4.850380e-001  2.723158e-002  3.497568e-004
 4.877900e-001  2.673312e-002  3.487507e-004
